file,wer,time
61-70968-0000.flac ,0.11764705882352941,4.372611999511719
61-70968-0001.flac ,0.2,3.5915725231170654
61-70968-0002.flac ,0.14285714285714285,3.0324175357818604
61-70968-0003.flac ,0.2,3.5256199836730957
61-70968-0004.flac ,0.18181818181818182,3.336399555206299
61-70968-0005.flac ,0.125,3.539231538772583
61-70968-0006.flac ,0.09090909090909091,3.2093887329101562
61-70968-0007.flac ,0.2857142857142857,3.1011040210723877
61-70968-0008.flac ,0.07142857142857142,3.374336004257202
61-70968-0009.flac ,0.2727272727272727,3.2695505619049072
