file,wer,time
61-70968-0000.flac ,0.11764705882352941,3.6695268154144287
61-70968-0001.flac ,0.0,3.4065773487091064
61-70968-0002.flac ,0.14285714285714285,3.9477617740631104
61-70968-0003.flac ,0.26666666666666666,4.371438980102539
61-70968-0004.flac ,0.18181818181818182,3.6675617694854736
61-70968-0005.flac ,0.125,4.639251708984375
61-70968-0006.flac ,0.09090909090909091,4.068997621536255
61-70968-0007.flac ,0.2857142857142857,3.7435758113861084
61-70968-0008.flac ,0.07142857142857142,4.0290915966033936
61-70968-0009.flac ,0.2727272727272727,5.299649000167847
