file,wer,time
61-70968-0000.flac ,0.0,1.3992619514465332
61-70968-0001.flac ,0.1,0.359652042388916
61-70968-0002.flac ,0.0,0.30663275718688965
61-70968-0003.flac ,0.0,0.9287643432617188
61-70968-0004.flac ,0.09090909090909091,0.4080805778503418
61-70968-0005.flac ,0.0,0.5168313980102539
61-70968-0006.flac ,0.0,0.2842533588409424
61-70968-0007.flac ,0.14285714285714285,0.37973904609680176
61-70968-0008.flac ,0.0,0.39067983627319336
61-70968-0009.flac ,0.09090909090909091,0.47226810455322266
